,ship_mode,segment,city,state,postal_code,region,category,sub_category,product_name,sales,quantity,discount,profit,delivery_days,price_per_item,spent
0,1,0,Henderson,Kentucky,42420,3,1,Bookcases,Bush Somerset Collection Bookcase,261.96,2,0.0,41.9136,3,130.98,523.92
1,1,0,Henderson,Kentucky,42420,3,1,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",731.94,3,0.0,219.582,3,243.98000000000002,2195.82
2,1,1,Los Angeles,California,90036,0,0,Labels,Self-Adhesive Address Labels for Typewriters by Universal,14.62,2,0.0,6.8714,4,7.31,29.24
3,0,0,Fort Lauderdale,Florida,33311,3,1,Tables,Bretford CR4500 Series Slim Rectangular Table,957.5775,5,0.45,-383.031,7,191.5155,4787.8875
4,0,0,Fort Lauderdale,Florida,33311,3,0,Storage,Eldon Fold 'N Roll Cart System,22.368,2,0.2,2.5164,7,11.184,44.736
5,0,0,Los Angeles,California,90032,0,1,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",48.86,7,0.0,14.1694,5,6.9799999999999995,342.02
6,0,0,Los Angeles,California,90032,0,0,Art,Newell 322,7.28,4,0.0,1.9656,5,1.82,29.12
7,0,0,Los Angeles,California,90032,0,2,Phones,Mitel 5320 IP Phone VoIP phone,907.152,6,0.2,90.7152,5,151.192,5442.912
8,0,0,Los Angeles,California,90032,0,0,Binders,DXL Angle-View Binders with Locking Rings by Samsill,18.504,3,0.2,5.7825,5,6.168,55.512
9,0,0,Los Angeles,California,90032,0,0,Appliances,Belkin F5C206VTEL 6 Outlet Surge,114.9,5,0.0,34.47,5,22.98,574.5
10,0,0,Los Angeles,California,90032,0,1,Tables,Chromcraft Rectangular Conference Tables,1706.184,9,0.2,85.3092,5,189.576,15355.655999999999
11,0,0,Los Angeles,California,90032,0,2,Phones,Konftel 250 Conference phone - Charcoal black,911.424,4,0.2,68.3568,5,227.856,3645.696
12,0,0,Concord,North Carolina,28027,3,0,Paper,Xerox 1967,15.552,3,0.2,5.4432,5,5.184,46.656
13,0,0,Seattle,Washington,98103,0,0,Binders,Fellowes PB200 Plastic Comb Binding Machine,407.976,3,0.2,132.5922,5,135.992,1223.9279999999999
14,0,2,Fort Worth,Texas,76106,2,0,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",68.81,5,0.8,-123.858,4,13.762,344.05
15,0,2,Fort Worth,Texas,76106,2,0,Binders,Storex DuraTech Recycled Plastic Frosted Binders,2.544,3,0.8,-3.816,4,0.848,7.632
16,0,0,Madison,Wisconsin,53711,2,0,Storage,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",665.88,6,0.0,13.3176,7,110.98,3995.2799999999997
17,1,0,West Jordan,Utah,84084,0,0,Storage,Fellowes Super Stor/Drawer,55.5,2,0.0,9.99,2,27.75,111.0
18,1,0,San Francisco,California,94109,0,0,Art,Newell 341,8.56,2,0.0,2.4824,5,4.28,17.12
19,1,0,San Francisco,California,94109,0,2,Phones,Cisco SPA 501G IP Phone,213.48,3,0.2,16.011,5,71.16,640.4399999999999
20,1,0,San Francisco,California,94109,0,0,Binders,"Wilson Jones Hanging View Binder, White, 1""",22.72,4,0.2,7.384,5,5.68,90.88
21,0,1,Fremont,Nebraska,68025,2,0,Art,Newell 318,19.46,7,0.0,5.0596,4,2.7800000000000002,136.22
22,0,1,Fremont,Nebraska,68025,2,0,Appliances,"Acco Six-Outlet Power Strip, 4' Cord Length",60.34,7,0.0,15.6884,4,8.620000000000001,422.38
23,1,0,Philadelphia,Pennsylvania,19140,1,1,Chairs,"Global Deluxe Stacking Chair, Gray",71.372,2,0.3,-1.0196,2,35.686,142.744
24,0,0,Orem,Utah,84057,0,1,Tables,Bretford CR4500 Series Slim Rectangular Table,1044.63,3,0.0,240.2649,5,348.21000000000004,3133.8900000000003
25,1,0,Los Angeles,California,90049,0,0,Binders,Wilson Jones Active Use Binders,11.648,2,0.2,4.2224,4,5.824,23.296
26,1,0,Los Angeles,California,90049,0,2,Accessories,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,90.57,3,0.0,11.7741,4,30.189999999999998,271.71
27,0,0,Philadelphia,Pennsylvania,19140,1,1,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",3083.43,7,0.5,-1665.0522,4,440.48999999999995,21584.01
28,0,0,Philadelphia,Pennsylvania,19140,1,0,Binders,Avery Recycled Flexi-View Covers for Binding Systems,9.618,2,0.7,-7.0532,4,4.809,19.236
29,0,0,Philadelphia,Pennsylvania,19140,1,1,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",124.2,3,0.2,15.525,4,41.4,372.6
30,0,0,Philadelphia,Pennsylvania,19140,1,0,Envelopes,Poly String Tie Envelopes,3.264,2,0.2,1.1016,4,1.632,6.528
31,0,0,Philadelphia,Pennsylvania,19140,1,0,Art,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",86.304,6,0.2,9.7092,4,14.384,517.8240000000001
32,0,0,Philadelphia,Pennsylvania,19140,1,0,Binders,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",6.858,6,0.7,-5.715,4,1.143,41.147999999999996
33,0,0,Philadelphia,Pennsylvania,19140,1,0,Art,Lumber Crayons,15.76,2,0.2,3.546,4,7.88,31.52
34,1,2,Houston,Texas,77095,2,0,Paper,Easy-staple paper,29.472,3,0.2,9.9468,4,9.824,88.416
35,2,1,Richardson,Texas,75080,2,2,Phones,GE 30524EE4,1097.544,7,0.2,123.4737,2,156.792,7682.808000000001
36,2,1,Richardson,Texas,75080,2,1,Furnishings,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",190.92,5,0.6,-147.963,2,38.184,954.5999999999999
37,0,2,Houston,Texas,77041,2,0,Envelopes,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",113.328,9,0.2,35.415,4,12.592,1019.952
38,0,2,Houston,Texas,77041,2,1,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",532.3992,3,0.32,-46.9764,4,177.4664,1597.1976
39,0,2,Houston,Texas,77041,2,1,Chairs,"Global Fabric Manager's Chair, Dark Gray",212.058,3,0.3,-15.147,4,70.68599999999999,636.174
40,0,2,Houston,Texas,77041,2,2,Phones,Plantronics HL10 Handset Lifter,371.168,4,0.2,41.7564,4,92.792,1484.672
41,0,1,Naperville,Illinois,60540,2,2,Phones,Panasonic Kx-TS550,147.168,4,0.2,16.5564,5,36.792,588.672
42,0,1,Los Angeles,California,90049,0,0,Storage,"Eldon Base for stackable storage shelf, platinum",77.88,2,0.0,3.894,5,38.94,155.76
43,0,1,Melbourne,Florida,32935,3,0,Storage,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",95.616,2,0.2,9.5616,4,47.808,191.232
44,2,1,Eagan,Minnesota,55122,2,2,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",45.98,2,0.0,19.7714,2,22.99,91.96
45,2,1,Eagan,Minnesota,55122,2,0,Binders,Wilson Jones Leather-Like Binders with DublLock Round Rings,17.46,2,0.0,8.2062,2,8.73,34.92
46,1,0,Westland,Michigan,48185,2,0,Storage,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",211.96,4,0.0,8.4784,5,52.99,847.84
47,0,0,Dover,Delaware,19901,1,2,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,45.0,3,0.0,4.95,5,15.0,135.0
48,0,0,Dover,Delaware,19901,1,2,Phones,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",21.8,2,0.0,6.104,5,10.9,43.6
49,0,0,New Albany,Indiana,47150,2,0,Binders,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",38.22,6,0.0,17.9634,4,6.37,229.32
50,0,0,New Albany,Indiana,47150,2,0,Labels,Avery 485,75.18,6,0.0,35.3346,4,12.530000000000001,451.08000000000004
51,0,0,New Albany,Indiana,47150,2,1,Furnishings,Longer-Life Soft White Bulbs,6.16,2,0.0,2.9568,4,3.08,12.32
52,0,0,New Albany,Indiana,47150,2,1,Chairs,"Global Leather Task Chair, Black",89.99,1,0.0,17.0981,4,89.99,89.99
53,0,1,New York City,New York,10024,1,0,Fasteners,Advantus Push Pins,15.26,7,0.0,6.2566,6,2.18,106.82
54,0,1,New York City,New York,10024,1,2,Phones,AT&T CL83451 4-Handset Telephone,1029.95,5,0.0,298.6855,6,205.99,5149.75
55,2,0,Troy,New York,12180,1,0,Storage,Home/Office Personal File Carts,208.56,6,0.0,52.14,1,34.76,1251.3600000000001
56,2,0,Troy,New York,12180,1,0,Paper,Xerox 232,32.4,5,0.0,15.552,1,6.4799999999999995,162.0
57,2,0,Troy,New York,12180,1,1,Chairs,Novimex Turbo Task Chair,319.41,5,0.1,7.098,1,63.882000000000005,1597.0500000000002
58,2,0,Troy,New York,12180,1,0,Paper,"Array Parchment Paper, Assorted Colors",14.56,2,0.0,6.9888,1,7.28,29.12
59,2,0,Troy,New York,12180,1,2,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,30.0,2,0.0,3.3,1,15.0,60.0
60,2,0,Troy,New York,12180,1,0,Binders,Plastic Binding Combs,48.48,4,0.2,16.362,1,12.12,193.92
61,2,0,Troy,New York,12180,1,0,Art,Prang Dustless Chalk Sticks,1.68,1,0.0,0.84,1,1.68,1.68
62,0,0,Los Angeles,California,90004,0,2,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",13.98,2,0.0,6.1512,6,6.99,27.96
63,0,0,Los Angeles,California,90004,0,0,Binders,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",25.824,6,0.2,9.3612,6,4.304,154.94400000000002
64,0,0,Los Angeles,California,90004,0,0,Paper,Xerox 1943,146.73,3,0.0,68.9631,6,48.91,440.18999999999994
65,0,0,Los Angeles,California,90004,0,1,Furnishings,Luxo Economy Swing Arm Lamp,79.76,4,0.0,22.3328,6,19.94,319.04
66,0,2,Chicago,Illinois,60610,2,1,Chairs,"Global Value Mid-Back Manager's Chair, Gray",213.115,5,0.3,-15.2225,5,42.623000000000005,1065.575
67,0,1,Gilbert,Arizona,85234,0,0,Art,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",1113.024,8,0.2,111.3024,5,139.128,8904.192
68,0,1,Gilbert,Arizona,85234,0,2,Phones,netTALK DUO VoIP Telephone Service,167.968,4,0.2,62.988,5,41.992,671.872
69,2,0,Springfield,Virginia,22153,3,0,Paper,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",75.88,2,0.0,35.6636,2,37.94,151.76
70,0,0,New York City,New York,10009,1,0,Binders,Avery Binding System Hidden Tab Executive Style Index Sets,4.616,1,0.2,1.731,5,4.616,4.616
71,1,0,Jackson,Michigan,49201,2,0,Paper,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",19.05,3,0.0,8.763,3,6.3500000000000005,57.150000000000006
72,0,0,Memphis,Tennessee,38109,3,1,Chairs,High-Back Leather Manager's Chair,831.936,8,0.2,-114.3912,6,103.992,6655.488
